direction,group,area,type,vendor_name,normalized_name,slug,official_site,logo,logo_source_url,status,confidence,source,notes
Архитектура / алюминиевые профили,Архитектура / алюминиевые профили,Архитектура / алюминиевые профили,Архитектура / алюминиевые профили,АЛРОКС,АЛРОКС,alroks,https://alrox.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / гипсокартон,Архитектура / гипсокартон,Архитектура / гипсокартон,Архитектура / гипсокартон,Магма,Магма,magma,https://magma-td.ru/catalog/gipsokartonnye-listy/gipsokarton-vlagostoykiy/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / окна,Архитектура / окна,Архитектура / окна,Архитектура / окна,Kaleva,Kaleva,kaleva,https://www.okna.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / окна,Архитектура / окна,Архитектура / окна,Архитектура / окна,Melke,Melke,melke,https://www.melke.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / сухие смеси,Архитектура / сухие смеси,Архитектура / сухие смеси,Архитектура / сухие смеси,Волма,Волма,volma,https://www.volma.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / сухое строительство,Архитектура / сухое строительство,Архитектура / сухое строительство,Архитектура / сухое строительство,Gyproc,Gyproc,gyproc,https://www.gyproc.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / сухое строительство,Архитектура / сухое строительство,Архитектура / сухое строительство,Архитектура / сухое строительство,Кнауф,Кнауф,knauf,https://www.knauf.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектурные решения,Архитектурные решения,Архитектурные решения,потолки и системы,Cesal,Cesal,cesal,https://cesal.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Official CESAL logo from official site, normalized from supplier table row that contained category text instead of brand name."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,ORTEX,ORTEX,ortex,https://ortex.org,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 36. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,Thermo Glass,Thermo Glass,thermo-glass,https://thermo-glass.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 31. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,HPL,«Завод слоистых пластиков»,«Завод слоистых пластиков»,zavod-sloistyh-plastikov,https://sloplast.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: HPL, row 3. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,GML панели,«Подольский завод стеновых и потолочных панелей» ООО «ПЗСПП»,«Подольский завод стеновых и потолочных панелей» ООО «ПЗСПП»,podolskiy-zavod-stenovyh-i-potolochnyh-paneley-ooo-pzspp,https://gipsometal.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: GML панели, row 27. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Плитка керамическая,"АО “ЗКИ” АО ""Завод керамических изделий г. Екатеринбург""","АО “ЗКИ” АО ""Завод керамических изделий г. Екатеринбург""",ao-zki-ao-zavod-keramicheskih-izdeliy-g-ekaterinburg,https://almaceramica.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Плитка керамическая, row 22. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,GML панели,"Компания ""Ардко""","Компания ""Ардко""",kompaniya-ardko,https://ardco.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: GML панели, row 16. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,ЛКМ,НПП СПЕКТР,НПП СПЕКТР,npp-spektr,https://certa.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ЛКМ, row 9. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Плитка керамическая,"ООО ""Параллель""","ООО ""Параллель""",ooo-parallel,https://unitile.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Плитка керамическая, row 19. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,ООО «ОК-СИТИ»,ООО «ОК-СИТИ»,ooo-ok-siti,https://www.oknadomkom.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 39. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,Оконные технологии,Оконные технологии,okonnye-tehnologii,https://okonteh.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 10. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,Производственная компания АВИ СтройКомплект,Производственная компания АВИ СтройКомплект,proizvodstvennaya-kompaniya-avi-stroykomplekt,https://www.avi-sk.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 48. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,ОБОИ,Стройобои,Стройобои,stroyoboi,https://malex.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ОБОИ, row 14. Logo source: official site."
Архитектурные решения,Полы,Напольные покрытия,Напольные покрытия,Tarkett,Tarkett,tarkett,https://www.tarkett.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектурные решения,Полы,Фальшполы,Фальшполы,INTERFLOOR,INTERFLOOR,interfloor,https://interfloor.pro/,,,manual_review_needed,high,official_p2_remaining_groups_20260706,Official site title identifies INTERFLOOR as production and installation of raised-floor systems; logo from official schema/header image.
Архитектурные решения,Стены / интерьерные панели,СМЛ,СМЛ панели,MAGELAN,MAGELAN,magelan,https://www.magelan-import.com/,,,manual_review_needed,high,official_p0_vendor_batch_20260703,Official MAGELAN site uses this SVG as the header logo background; catalog hint covers SML panels.
Архитектурные решения,Фасады,Фасадные системы,Фасадные системы,GRAND LINE,GRAND LINE,grand-line,https://www.grandline.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектурные решения,Фасады,Фасадные системы,Фасадные системы,NORDFOX,NORDFOX,nordfox,https://nordfox.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Благоустройство и озеленение,Благоустройство,Благоустройство,МАФ,Вивана,Вивана,vivana,https://vivana.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: МАФ, row 7. Logo source: official site."
ВК / водоотведение,ВК / водоотведение,ВК / водоотведение,ВК / водоотведение,АктивСток,АктивСток,aktivstok,https://akstok.com/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
ВК / насосное оборудование,ВК / насосное оборудование,ВК / насосное оборудование,ВК / насосное оборудование,Wilo,Wilo,wilo,https://wilo.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Вертикальный транспорт,Автоматизация и диспетчеризация,Диспетчерская связь лифтов,Диспетчерская связь (Лифты),Обь Лифт-Комплекс ДС,Обь Лифт-Комплекс ДС,ob-lift-kompleks-ds,https://www.lkds.ru/,,,manual_review_needed,high,official_p0_vendor_batch_20260703,Official LKDS site logo; catalog hint covers lift dispatch communication.
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Doppler,Doppler,doppler,https://doppler-lifts.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 28. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Карачаровский Механический завод,Карачаровский Механический завод,karacharovskiy-mehanicheskiy-zavod,https://kmzlift.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 5. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,МОСЛИФТ АО,МОСЛИФТ АО,moslift-ao,https://moslift.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 30. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,ООО «ВТК «ПРОМТЕХ»,ООО «ВТК «ПРОМТЕХ»,ooo-vtk-promteh,https://vtk-promteh.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 36. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Отис - ранее METEOR Lift,Отис - ранее METEOR Lift,otis-ranee-meteor-lift,https://meteor.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 12. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Приводная техника,Приводная техника,privodnaya-tehnika,https://privod.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 26. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,САНКТ-ПЕТЕРБУРГСКИЙ ЛИФТОВОЙ ЗАВОД,САНКТ-ПЕТЕРБУРГСКИЙ ЛИФТОВОЙ ЗАВОД,sankt-peterburgskiy-liftovoy-zavod,https://lzspb.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 20. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Серпуховский лифтостроительный завод,Серпуховский лифтостроительный завод,serpuhovskiy-liftostroitelnyy-zavod,https://slz-lift.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 15. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Современные лифтовые технологии,Современные лифтовые технологии,sovremennye-liftovye-tehnologii,https://sltlift.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 25. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,ЧЕЛЯБИНСКИЙ ЛИФТОСТРОИТЕЛЬНЫЙ ЗАВОД «ВИТЧЕЛ»,ЧЕЛЯБИНСКИЙ ЛИФТОСТРОИТЕЛЬНЫЙ ЗАВОД «ВИТЧЕЛ»,chelyabinskiy-liftostroitelnyy-zavod-vitchel,https://witchel.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 17. Logo source: official site."
Водоподготовка,Водоподготовка,Водоподготовка,Водоподготовка,Аквалид,Аквалид,akvalid,https://aqualid.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоотведение,Промышленные водонагреватели,Накопительные электрические промышленные водонагреватели,РусИнж,РусИнж,rusinzh,https://www.rusinzh.ru/,,,manual_review_needed,high,official_p1_vendor_hint_batch_20260703,Official РусИнж header logo; catalog brand hint covers industrial electric storage water heaters.
Водоснабжение и водоотведение,Водоснабжение,Запорная арматура,Запорная и регулирующая арматура,Danfoss,Danfoss,danfoss,https://www.danfoss.com/en/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоснабжение,Трубопроводные системы,Трубопроводные системы водоснабжения,REHAU,REHAU,rehau,https://rhsolutions.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоснабжение,Трубопроводные системы,Трубопроводные системы водоснабжения,Sanext,Sanext,sanext,https://sanext.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоснабжение,Трубопроводные системы,Трубопроводные системы водоснабжения,Uponor,Uponor,uponor,https://uponor.company/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоснабжение,Узлы учета воды,Узлы учета воды,ВЗЛЕТ,ВЗЛЕТ,vzljot,https://vzljot.ru/,,,manual_review_needed,high,official_p2_remaining_groups_20260706,"Official site title identifies VZLJOT as manufacturer of liquid, heat and gas metering devices; logo extracted from official inline SVG header."
Водоснабжение и водоотведение,Наружные сети водоснабжения и канализации,Наружные сети водоснабжения и канализации,Наружные сети водоснабжения и канализации,ПОЛИПЛАСТИК,ПОЛИПЛАСТИК,polyplastic,https://www.polyplastic.ru/,,,manual_review_needed,high,official_p2_remaining_groups_20260706,Official site title identifies POLYPLASTIC Group as polymer pipe manufacturer; logo from official theme asset.
Газоснабжение,Газоанализаторы,Газоанализаторы,Газоанализаторы,НПП «ГазоАналит»,НПП «ГазоАналит»,gazoanalit,https://gazoanalit.ru/,,,manual_review_needed,medium,official_catalog_hint_gas_analyzers_20260703,Official site identifies ООО НПП ГазоАналит as a manufacturer/system integrator of gas analysis systems. Official 70x70 logo image is used without redraw; mapped only to gas analyzers.
Доступная среда,Пандусы / подъемники / поручни,Доступная среда,"Пандусы, подъемники, поручни, рампы и трапы",Тифлоцентр,Тифлоцентр,tiflocentre,https://tiflocentre.ru/,,,manual_review_needed,high,official_p1_vendor_hint_batch_20260703,Official Тифлоцентр logo from official site; catalog hints cover accessible environment groups.
Доступная среда,Парковочные места,Дорожные знаки,Дорожные знаки,РусДорЗнак,РусДорЗнак,rusdorznak,https://rusdorznak.ru/,,,manual_review_needed,high,official_p2_remaining_groups_20260706,Official site title identifies road signs; logo from official site asset.
ИТ-оборудование,ИТ-оборудование,ИТ-оборудование,ИТ-оборудование,iRU,iRU,iru,https://www.iru.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Изоляция / инженерная изоляция,Изоляция / инженерная изоляция,Изоляция / инженерная изоляция,Изоляция / инженерная изоляция,K-FLEX,K-FLEX,k-flex,https://kflex.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Инженерное оборудование,Пожарная безопасность,АПС,Пожарная сигнализация и СОУЭ,НВП Болид,НВП Болид,bolid,https://bolid.ru/production/,,,manual_review_needed,high,codex_fire_p0_vendor_fill_20260702,"Official logo from bolid.ru. Mapped only to fire alarm, security-fire alarm, SOUE and emergency notification groups."
Инженерное оборудование,Пожарная безопасность,АПС,Охранно-пожарная сигнализация и СОУЭ,Рубеж,Рубеж,rubezh,https://products.rubezh.ru/,,,manual_review_needed,high,codex_fire_p0_vendor_fill_20260702,"Official SVG logo from products.rubezh.ru. Mapped to security/fire alarm, SOUE and emergency notification groups."
Инженерное оборудование,Пожарная безопасность,АПС,Автоматическое пожаротушение,Спецавтоматика,Спецавтоматика,spetsavtomatika-biysk,https://sa-biysk.ru/,,,manual_review_needed,medium,codex_fire_p0_vendor_fill_20260702,Official logo from sa-biysk.ru. Mapped to automatic fire extinguishing product groups; broader fire systems need business confirmation.
Конструктив / силикатный кирпич,Конструктив / силикатный кирпич,Конструктив / силикатный кирпич,Конструктив / силикатный кирпич,ЧЗСК,ЧЗСК,chzsk,https://silicatbrick.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Конструктивные решения,Бетонные конструкции,Топпинговый бетонный пол,Топпинговый бетонный пол,Элакор,Элакор,elakor,https://www.teohim.ru/,,,manual_review_needed,high,official_p2_remaining_groups_20260706,Official TeoHim/Elakor site title identifies industrial and concrete floors; page contains topping materials; logo extracted from official CSS data URI.
Конструктивные решения,Геосинтетические материалы,Геотекстиль,Геотекстиль,Комитекс,Комитекс,komitex,https://www.komitex.ru/,,,manual_review_needed,high,official_p2_remaining_groups_20260706,"Official site title identifies Komitex as producer of nonwoven materials and synthetic fibers; white official logo cropped from official sprite, visual check required on white cards."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,Creavit,Creavit,creavit,https://erkam.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 46. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,SALINI,SALINI,salini,https://salini-srl.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 44. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Березник,Березник,bereznik,https://bereznik.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 10. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Вятский ФК,Вятский ФК,vyatskiy-fk,https://segezha-group.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 26. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Галичский ФК,Галичский ФК,galichskiy-fk,https://segezha-group.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 27. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Гомельдрев,Гомельдрев,gomeldrev,https://gomeldrev.by,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 107. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,ДК Жуньда,ДК Жуньда,dk-zhunda,https://vsp-komplekt96.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 51. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Демидовский ФК,Демидовский ФК,demidovskiy-fk,https://demidovo.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 32. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Илим Тимбер,Илим Тимбер,ilim-timber,https://ilimtimber.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 55. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,ИнвестФорэст,ИнвестФорэст,investforest,https://if12.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 56. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,"Компания ""МаГрин""","Компания ""МаГрин""",kompaniya-magrin,https://magreen.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 36. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Красфан,Красфан,krasfan,https://segezha-group.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 19. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Кроноспан,Кроноспан,kronospan,https://ultradecor.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 4. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,ЛК Синергия,ЛК Синергия,lk-sinergiya,https://snerg.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,Official header PNG selected instead of footer SVG for readable white-card rendering.
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Лес Хороший,Лес Хороший,les-horoshiy,https://les71.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 72. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Мостодрев,Мостодрев,mostodrev,https://mostovdrev.by,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 103. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Налидовский ДОК,Налидовский ДОК,nalidovskiy-dok,https://neldok.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 20. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,Нижегородский опытно-экспериментальный завод,Нижегородский опытно-экспериментальный завод,nizhegorodskiy-opytno-eksperimentalnyy-zavod,https://noez-zavod.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 64. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Никольский ДОК,Никольский ДОК,nikolskiy-dok,https://nikdok.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 73. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Нововятский ЛК,Нововятский ЛК,novovyatskiy-lk,https://nlk.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 74. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Новый ресурс,Новый ресурс,novyy-resurs,https://fanerakovrov.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 34. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Нордплит,Нордплит,nordplit,https://rosplit.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 76. Logo source: official site."
